I (371) PMS7003: Init done (UART=2 TX=17 RX=16)
I (371) PMS7003: PMS7003 task started
I (381) APP: PMS7003 started
I (591) BME280_ENV: BME280 init OK (addr 0x76)
I (591) BME280_ENV: BME280 task started
I (591) APP: BME280 started
I (591) SDS011: SDS011 init OK (UART1, TX=33, RX=32)
I (591) SDS011: SDS011 task started
I (591) APP: SDS011 started
I (591) AIR_LOG: AirSense logger task started: sample every 5000 ms, 180 samples per block (~15 min)
I (601) APP: Logger started
I (611) APP: ===== Init done, main loop idle =====
I (5601) AIR_LOG: === Start logging block #1 (duration ~15 min) ===
I (465601) AIR_LOG: t=465302 ms | PMS: OK PM1=10 PM2.5=28 PM10=38 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.90C H=61.9% P=1012.61hPa Alt=5.4m
I (470601) AIR_LOG: t=470302 ms | PMS: OK PM1=10 PM2.5=32 PM10=36 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.91C H=61.9% P=1012.70hPa Alt=4.6m
I (475601) AIR_LOG: t=475302 ms | PMS: OK PM1=8 PM2.5=33 PM10=39 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.90C H=61.9% P=1012.66hPa Alt=4.9m
I (480601) AIR_LOG: t=480302 ms | PMS: OK PM1=5 PM2.5=28 PM10=32 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.91C H=61.9% P=1012.67hPa Alt=4.8m
I (485601) AIR_LOG: t=485302 ms | PMS: OK PM1=6 PM2.5=25 PM10=34 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.91C H=61.9% P=1012.62hPa Alt=5.3m
I (490601) AIR_LOG: t=490302 ms | PMS: OK PM1=7 PM2.5=27 PM10=40 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.92C H=61.8% P=1012.67hPa Alt=4.8m


I (5601) AIR_LOG: t=5302 ms | PMS: OK PM1=73 PM2.5=82 PM10=103 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.89C H=62.0% P=1012.64hPa Alt=5.1m        
I (10601) AIR_LOG: t=10302 ms | PMS: OK PM1=64 PM2.5=85 PM10=102 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.91C H=61.9% P=1012.68hPa Alt=4.8m
I (15601) AIR_LOG: t=15302 ms | PMS: OK PM1=45 PM2.5=88 PM10=102 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.92C H=61.9% P=1012.58hPa Alt=5.6m
I (20601) AIR_LOG: t=20302 ms | PMS: OK PM1=24 PM2.5=70 PM10=84 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.92C H=61.9% P=1012.55hPa Alt=5.8m


I (5601) AIR_LOG: t=5302 ms | PMS: OK PM1=4 PM2.5=37 PM10=42 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.93C H=61.8% P=1012.61hPa Alt=5.4m
I (10601) AIR_LOG: t=10302 ms | PMS: OK PM1=3 PM2.5=28 PM10=30 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.94C H=61.8% P=1012.68hPa Alt=4.8m
I (15601) AIR_LOG: t=15302 ms | PMS: OK PM1=1 PM2.5=10 PM10=13 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.93C H=61.8% P=1012.61hPa Alt=5.4m
I (20601) AIR_LOG: t=20302 ms | PMS: OK PM1=0 PM2.5=0 PM10=0 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.96C H=61.7% P=1012.76hPa Alt=4.1m
I (25601) AIR_LOG: t=25302 ms | PMS: OK PM1=0 PM2.5=0 PM10=0 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.97C H=61.7% P=1012.67hPa Alt=4.9m
I (30601) AIR_LOG: t=30302 ms | PMS: OK PM1=0 PM2.5=0 PM10=0 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.96C H=61.7% P=1012.66hPa Alt=4.9m
I (35601) AIR_LOG: t=35302 ms | PMS: OK PM1=0 PM2.5=0 PM10=0 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.96C H=61.7% P=1012.63hPa Alt=5.2m
I (40601) AIR_LOG: t=40302 ms | PMS: OK PM1=0 PM2.5=0 PM10=0 | SDS: -- PM2.5=-1 PM10=-1 | BME: OK T=27.96C H=61.6% P=1012.63hPa Alt=5.2m
